Location,Site,Test_Unit,Sample_Number,CRA,SD,Comments
Hiva Hiva,15-90,52,Beta-237457,460,40,Carbon from TU Level 1 profile
Hiva Hiva,15-192,98,Beta-237458,modern,,Carbon from TU fill
Hiva Hiva,Rock Garden 15-68,105,Beta-237459,840,40,Carbon Sample #1: Level 2
Hiva Hiva,Rock Garden 15-68,15,Beta-237460,440,40,Carbon Sample #2: Level 2
Hiva Hiva,Midden,17,Beta-238582,490,40,"Coconut shell, TU fill"
Hiva Hiva,Rock Garden 16,137,Beta-238061,300,40,Carbon from TU fill
Hiva Hiva,Rock Garden 22,145,Beta-237464,560,40,Carbon from TU fill
Hiva Hiva,Rock Garden 25,148,Beta-238063,210,40,Carbon from TU fill
Hiva Hiva,Rock Garden 20,141,Beta-23062,570,40,Carbon from TU W. profile
Hiva Hiva,15-233h,TU2,Beta-254389,160,40,"Toromiro, TU 2, L3"
Hiva Hiva,15-233h,TU2,Beta-254390,290,40,"Toromiro, TU 2, L4"
Hiva Hiva,15-233h,TU2,Beta-245391,100,40,"Toromiro, TU 2, L6"